Title,Titlecontd,ReleaseYear,Locations,ConvertedLocations,Latitude,Longitude,FunFacts,ProductionCompany,Distributor,Director,Writer,Actor1,Actor2,Actor3,SFFindNeighborhoods,AnalysisNeighborhoods,CurrentSupervisorDistricts
I’m A Virgo,,2023,Columbus Avenue between Pacifiic and Jackson,"570 Pacific Ave, San Francisco, CA 94133",37.797365,-122.404846,,Bing Bang Productions Inc,Prime Video,Boots Riley,Boots Riley,Jharrel Jerome,Mike Epps,Carmen Ejogo,77,8,3
Dark Passage,,1947,"Filbert Steps, Filbert Street","Filbert Steps, Filbert Street, San Francisco CA",37.8019435,-122.4047035,,Warner Bros. Pictures,Warner Bros. Pictures,Delmer Daves,Delmer Daves & David Goodis,Humphrey Bogart,Lauren Bacal,Bruce Bennett,107,32,3
Nash Bridges,,2021,Rowland Street,"Rowland Street, San Francisco CA",37.7981216,-122.4046998,,"Village NB Productions, LLC",USA Nework,Greg Beeman,"Carlton Cuse, Bill Chais",Don Johnson,Cheech Marin,Joe Dinicol,106,23,3
Invasion of the Body Snatchers,,1978,Pier 33 (Embarcadero),"Pier 33 (Embarcadero), San Francisco CA",37.8071635,-122.404699,,Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,Brooke Adams,108,8,3
Foul Play,,1978,430 Vallejo Street (Telegraph Hill),"430 Vallejo Street (Telegraph Hill), San Francisco CA",37.79928,-122.404631,,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith,18,23,3
Etruscan Smile,,2017,1227 Montgomery Street,"1227 Montgomery Street, San Francisco CA",37.800435,-122.404535,,"Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,18,23,3
The House on Telegraph Hill,,1951,1227 Montgomery Street,"1227 Montgomery Street, San Francisco CA",37.800435,-122.404535,,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,Robert Wise,Elick Moll,Richard Basehart,Valentina Cortese,William Lundigan,18,23,3
Invasion of the Body Snatchers,,1978,1227 Montgomery Street,"1227 Montgomery Street, San Francisco CA",37.800435,-122.404535,,Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,Brooke Adams,18,23,3
Murder in the First,Season 2,2015,435 Broadway,"435 Broadway, San Francisco CA",37.797888,-122.404504,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,106,23,3
Nash Bridges,,2021,Pontiac Alley at Jackson,"435 Broadway, San Francisco, CA 94133",37.797888,-122.404504,,"Village NB Productions, LLC",USA Nework,Greg Beeman,"Carlton Cuse, Bill Chais",Don Johnson,Cheech Marin,Joe Dinicol,104,6,3
