Title,Titlecontd,ReleaseYear,Locations,ConvertedLocations,Latitude,Longitude,FunFacts,ProductionCompany,Distributor,Director,Writer,Actor1,Actor2,Actor3,SFFindNeighborhoods,AnalysisNeighborhoods,CurrentSupervisorDistricts
Women is Losers,,2020,119 Vernon St,"119 Vernon St, San Francisco CA",37.714682,-122.468279,,Look at the Moon Pictures,,Lissette Feliciano,Lissette Feliciano,Lorenza Izzo,Simu Liu,Liza Weil,65,24,1
Quitters,,2015,Clement St. from 5th and 7th Ave.,"443 Clement St, San Francisco, CA 94118",37.782736,-122.464093,,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,,,1
Women is Losers,,2020,MUNI Yard - 425 Geneva Ave,"MUNI Yard - 425 Geneva Ave, San Francisco CA",37.729553,-122.452466,,Look at the Moon Pictures,,Lissette Feliciano,Lissette Feliciano,Lorenza Izzo,Simu Liu,Liza Weil,80,28,1
Bitter Melon,,2018,600 Niagara Ave,"600 Niagara Ave, San Francisco CA",37.720362,-122.449309,,Bitter Melon Film LLC/Mammoth Pictures,"ABS-CBN, Gravitas Ventures",H.P. Mendoza,H.P. Mendoza,Jon Norman Schneider,Patrick Epino,Brian Rivera,81,24,1
"Smile Again, Jenny Lee",,2015,Mission Inn (5630 Mission St),"5630 Mission St, San Francisco CA",37.711262,-122.447415,,Carlo Caldana/Marguery Films,,Carlo Caldana,Linda Demetrick,Craig Tsuyumine,Puneet Prasad,Larry Kitagawa,66,28,1
Looking,Season 2 ep 203,2015,"Boxer Stadium, 166 Havelock Street","Boxer Stadium, 166 Havelock Street, San Francisco CA",37.726919,-122.444629,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,94,28,1
Looking,Season 2 ep 203,2015,"Balboa pool Lot, San Jose Avenue & Havelock St","51 Havelock St, San Francisco, CA 94112",37.726258,-122.443228,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,94,28,1
Pushing Dead,,2016,"Daniel's Pharmacy, 943 Geneva Ave","Daniel's Pharmacy, 943 Geneva Ave, San Francisco CA",37.716356,-122.44032,,"Pushing Dead , LLC",TBD,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert,90,7,1
Looking,Season 2 ep 204,2015,"Daniel's Pharmacy, 943 Geneva Ave","Daniel's Pharmacy, 943 Geneva Ave., San Francisco CA",37.716356,-122.44032,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,90,7,1
Sister Act 2: Back in the Habit,,1993,CCSF Alemany Campus,"CCSF Alemany Campus, San Francisco CA",37.800273,-122.440234,,Touchstone Pictures,Buena Vista Pictures,Bill Duke,Joseph Howard,Whoopi Goldberg,Maggie Smith,,80,28,1
Looking,Season 2 ep 207,2015,"Valenti, Marini, Perata, 4840 Mission Street","Valenti, Marini, Perata, 4840 Mission Street, San Francisco CA",37.7203,-122.438426,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,80,28,1
Pushing Dead,,2016,"Cordova Market, 301 Rolph Street, San Francisco","301 Rolph Street, San Francisco, San Francisco CA",37.713619,-122.436284,,"Pushing Dead , LLC",TBD,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert,58,7,1
Pushing Dead,,2016,"915 Naples, San Francisco","915 Naples, San Francisco, San Francisco CA",37.715031,-122.435255,,"Pushing Dead , LLC",TBD,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert,90,7,1
Americana,,2015,679 Madrid St,"679 Madrid St, San Francisco CA",37.718721,-122.434651,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,90,7,1
The Princess Diaries,,2001,724 Brazil Avenue,"724 Brazil Avenue, San Francisco CA",37.721714,-122.428918,,Walt Disney Pictures,Buena Vista Pictures,Garry Marshall,Gina Wendkos,Julie Andrews,Anne Hathway,,90,7,1
The Princess Diaries,,2001,Firestation #3 (Brazil Avenue and Athens Street),"735 Brazil Ave, San Francisco, CA 94112",37.721938,-122.428499,,Walt Disney Pictures,Buena Vista Pictures,Garry Marshall,Gina Wendkos,Julie Andrews,Anne Hathway,,90,7,1
Bitter Melon,,2018,68 Dublin St,"68 Dublin St, San Francisco CA",37.719278,-122.425871,,Bitter Melon Film LLC/Mammoth Pictures,"ABS-CBN, Gravitas Ventures",H.P. Mendoza,H.P. Mendoza,Jon Norman Schneider,Patrick Epino,Brian Rivera,90,7,1
Looking,Special,2016,Bernal Heights Neighborhood,"Bernal Heights Neighborhood, San Francisco CA",37.739243,-122.416182,"Jake Shears, lead singer of the band Scissor Sisters, auditioned for the role of Dom.","Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,94,28,1
The Dead Pool,,1988,"San Francisco National Military Cemetery (Lincoln Blvd., The Presidio, Golden Gate National Recreation Center)","1 Lincoln Blvd, San Francisco, CA 94129",37.80114,-122.46171,,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,Patricia Clarkson,,,2
Dirty Harry,,1971,Dolores Park,"Mission Dolores Park (Mission District), San Francisco CA",37.7591615,-122.427309,"The two land plots that comprise the Park were used as a Jewish cemetery until 1894 when San Francisco prohibited all burials within city limits. The graves were moved to Colma, CA.",The Malpaso Company,Warner Brothers,Don Siegel,Harry Julian Fink,Clint Eastwood,Harry Guardino,,53,20,2
Mission (aka City of Bars),,2001,Dolores Park,"Mission Dolores Park (Mission District), San Francisco CA",37.7591615,-122.427309,"The two land plots that comprise the Park were used as a Jewish cemetery until 1894 when San Francisco prohibited all burials within city limits. The graves were moved to Colma, CA.",NA,NA,Loren Marsh,Loren Marsh,Chris Coburn,,,53,20,2
Sweet November,,2001,Dolores Park,"Mission Dolores Park (Mission District), San Francisco CA",37.7591615,-122.427309,"The two land plots that comprise the Park were used as a Jewish cemetery until 1894 when San Francisco prohibited all burials within city limits. The graves were moved to Colma, CA.",Warner Bros. Pictures,Warner Bros. Pictures,Pat O'Connor,Paul Yurick,Keanu Reeves,Charlize Theron,,53,20,2
Chance,Season 1 ep107,2016,145 Barlett St.,"145 Barlett St., San Francisco CA",37.796568,-122.422022,,TVM Productions,HULU,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee,53,20,2
By Hook or By Crook,,2001,"Royan Hotel (405 Valencia Street, Mission District)","Royan Hotel (405 Valencia Street, Mission District), San Francisco CA",37.76641,-122.421717,,Steakhaus Productions,Artistic License,Harriet Dodge & Silas Howard,Harriet Dodge & Silas Howard,Silas Howard,,,53,20,2
Looking,,2014,Muddy Waters Coffee House,"521 Valencia St, San Francisco, CA 94110",37.764506,-122.421592,,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,53,20,2
Looking,Season 2 ep 209,2015,Muddy Waters Coffee House,"521 Valencia St, San Francisco, CA 94110",37.764506,-122.421592,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,53,20,2
Tales of the City,,2019,Valencia btwn Liberty and 21st St,"956 Valencia St, San Francisco, CA 94110",37.757567,-122.421427,,Universal Television LLC,Netflix,"Alan Poul, Silas Howard, Stacie Passon","Armistead Maupin, Lauren Morelli, Hansol Jung, Marcus Gardley",Laura Linney,Ellen Page,Murray Bartlett,53,20,2
Dream for an Insomniac,,1996,Elbo Room (647 Valencia Street),"Elbo Room (647 Valencia Street), San Francisco CA",37.762505,-122.421382,"This location is called the ""Café Blue Eyes"" in the film.",Triton Productions,Columbia TriStar Home Video,Tiffanie DeBartolo,Tiffanie DeBartolo,Ione Skye,Jennifer Aniston,,53,20,2
Looking,Special,2016,3079 16th Street,"3079 16th Street, San Francisco CA",37.764688,-122.421318,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,53,20,2
Looking,Season 2 ep 204,2015,"Esta Noche, 3079 16th Street","Esta Noche, 3079 16th Street, San Francisco CA",37.764688,-122.421318,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,53,20,2
Looking,Season 2 ep 202,2015,901 Valencia Street,"901 Valencia Street, San Francisco CA",37.758364,-122.421001,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,53,20,2
Crackers,,1984,La Rondalla (Valencia and 20th Streets),"901 Valencia St, San Francisco, CA 94110",37.758364,-122.421001,,Universal Pictures,Universal Pictures,Louis Malle,Jeffrey Fiskin,Donald Sutherland,Jack Warden,Sean Penn,53,20,2
By Hook or By Crook,,2001,The Lexington Club (3464 19th Street at Lexington),"3464 19th Street, San Francisco CA",37.760329,-122.420803,,Steakhaus Productions,Artistic License,Harriet Dodge & Silas Howard,Harriet Dodge & Silas Howard,Silas Howard,,,53,20,2
DEVS,,2020,Clarion Alley between Valencia & Mission St.,"46 Clarion Alley, San Francisco, CA 94110",37.76307,-122.42059,,Minim Productions,FX Network,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha,53,20,2
Tales of the City,,2019,Clarion Alley between Valencia & Mission St.,"46 Clarion Alley, San Francisco, CA 94110",37.76307,-122.42059,,Universal Television LLC,Netflix,"Alan Poul, Silas Howard, Stacie Passon","Armistead Maupin, Lauren Morelli, Hansol Jung, Marcus Gardley",Laura Linney,Ellen Page,Murray Bartlett,53,20,2
Sense8,,2015,Clarion Alley between Valencia & Mission St.,"46 Clarion Alley, San Francisco, CA 94110",37.76307,-122.42059,Ladies discuss their relationship in the mural alley,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,,83,2,2
GirlBoss,,2017,Clarion Alley between Valencia & Mission St.,"46 Clarion Alley, San Francisco, CA 94110",37.76307,-122.42059,The murals that make up this famous alley were first painted in 1992 and still looked after by the Clarion Alley Mural Project.,"Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea,83,2,2
Blue Jasmine,,2013,3563 20th St.,"3563 20th St., San Francisco CA",37.75845,-122.42024,,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,53,20,2
Joy Luck Club,,1993,Horace Mann School (3351 23rd Street),"3351 23rd Street, San Francisco CA",37.753418,-122.420102,,Hollywood Pictures,National Broadcasting Company (NBC),Wayne Wang,Amy Tan,Kieu Chinh,Tsai Chin,France Nuyen,53,20,2
DEVS,,2020,21st St at San Carlos,"21st St & San Carlos St, San Francisco CA",37.76237,-122.41984,,Minim Productions,FX Network,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha,53,20,2
DEVS,,2020,Sycamore Alley,"Sycamore Alley, San Francisco CA",37.76274,-122.419676,,Minim Productions,FX Network,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha,53,20,2
Looking,Season 2 ep 203,2015,Willy's Barber Shop,"3227 22nd St, San Francisco, CA 94110",37.755192,-122.419555,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,53,20,2
Looking,Season 2 ep 210,2015,Willy's Barber Shop,"3227 22nd St, San Francisco, CA 94110",37.755192,-122.419555,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,53,20,2
Looking,Season 2 ep 210,2015,BART Station @ 16th Street & Mission Streets,"2000 Mission St, San Francisco, CA 94110",37.765377,-122.419315,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,53,20,2
Americana,,2015,Foreign Cinema (2534 Mission),"Foreign Cinema (2534 Mission), San Francisco CA",37.756488,-122.419226,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,53,20,2
DEVS,,2020,Mission at 20th St,"Mission at 20th St, San Francisco CA",37.75993,-122.419138,,Minim Productions,FX Network,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha,53,20,2
GirlBoss,,2017,Mission between 19th and 25th St.,"Mission between 19th and 25th St., San Francisco CA",37.75993,-122.419138,,"Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea,53,20,2
The Last Black Man in San Francisco,,2019,Mission btwn 16th and Cesar Chavez,"Mission btwn 16th and Cesar Chavez, San Francisco CA",37.75993,-122.419138,,"LBMISF, LLC",A29,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover,83,2,2
Tales of the City,,2019,Mission District,"Mission District, San Francisco CA",37.75993,-122.419138,,Universal Television LLC,Netflix,"Alan Poul, Silas Howard, Stacie Passon","Armistead Maupin, Lauren Morelli, Hansol Jung, Marcus Gardley",Laura Linney,Ellen Page,Murray Bartlett,53,20,2
GirlBoss,,2017,"Mission Thrift, 2330 Mission St.","Mission Thrift, 2330 Mission St., San Francisco CA",37.75993,-122.419138,,"Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea,53,20,2
Shit and Champagne,,2020,2644 Mission St,"2644 Mission St, San Francisco CA",37.75469,-122.419053,,"Shaboom Boom, LLC",,D'Arcy Drollinger,D'Arcy Drollinger,D'Arcy Drollinger,Matthew Martin,Steven LeMay,53,20,2
The Diary of a Teenage Girl,,2015,Victoria Theatre,"Victoria Theatre, San Francisco CA",37.765025,-122.4189525,,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni,53,20,2
Looking,,2014,Doc's Clock,"Doc's Clock, San Francisco CA",37.758285,-122.418939,,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,53,20,2
Looking,Season 2 ep 203,2015,Doc's Clock,"Doc's Clock, 2575 Misison Street, San Francisco CA",37.758285,-122.418939,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,53,20,2
Shit and Champagne,,2020,17th and Capp St,"17th and Capp St, San Francisco CA",37.76641,-122.41839,,"Shaboom Boom, LLC",,D'Arcy Drollinger,D'Arcy Drollinger,D'Arcy Drollinger,Matthew Martin,Steven LeMay,53,20,2
The Last Black Man in San Francisco,,2019,"Red Building, 2567 Mission St","2567 Mission St, San Francisco, CA 94110",37.75602,-122.418357,,"LBMISF, LLC",A51,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover,53,20,2
A Taiwanese Tale of Two Cities,,2018,2751 Mission St,"2751 Mission St, San Francisco CA",37.753059,-122.418277,,Envision Productions Inc.,Netflix,Tien-Lun Yeh,"Ling-Hui Chen, Nancy Chen, Chih-Chi Fan, Chia-Hui Lin",Tammy Cheng,Peggy Tseng,Shen-Hao Wen,53,20,2
Dawn of the Planet of the Apes,,2014,Alioto Park,"Alioto Park, San Francisco CA",37.758834,-122.418125,,"Fox Louisiana Productions, LLC",Twentieth Century Fox,Matt Reeves,Rick Jaffa,Gary Oldman,Keri Russell,Andy Serkis,53,20,2
GirlBoss,,2017,"La Taqueria, 2889 Mission St.","2889 Mission St, San Francisco, CA 94110",37.750888,-122.418064,"The restaurant was given the honor of ""America's Best Burrito"" in 2014 by ESPN's FiveThirtyEight.","Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea,53,20,2
Blue Jasmine,,2013,2915 16th St.,"2915 16th St., San Francisco CA",37.764938,-122.417948,,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,53,20,2
Blue Jasmine,,2013,303-305 S. Van Ness,"303-305 S. Van Ness, San Francisco CA",37.768216,-122.417584,,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,53,20,2
Bullitt,,1968,Cesar Chavez & Mission Street (Mission),"3390 Cesar Chavez St, San Francisco, CA 94110",37.74835,-122.41757,,"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Robert Vaughn,83,2,2
Sense8,,2015,S. Van Ness,"S. Van Ness, San Francisco CA",37.76164,-122.41736,Driving shots,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,,53,20,2
Women is Losers,,2020,1080 Capp St,"1080 Capp St, San Francisco CA",37.749506,-122.417322,,Look at the Moon Pictures,,Lissette Feliciano,Lissette Feliciano,Lorenza Izzo,Simu Liu,Liza Weil,53,20,2
Foul Play,,1978,"Fiesta Laundromat (898 S. Van Ness Ave., Mission)","Fiesta Laundromat (898 S. Van Ness Ave., Mission), San Francisco CA",37.758896,-122.417298,,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith,53,20,2
Pushing Dead,,2016,"Double Happiness Health, 3380 20th Street","Double Happiness Health, 3380 20th Street, San Francisco CA",37.758987,-122.41661,,"Pushing Dead , LLC",TBD,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert,53,20,2
Pushing Dead,,2016,"Mission Neibhrohood Health Cetner, 240 Shotweel Street","240 Shotwell St, San Francisco, CA 94110",37.764637,-122.416544,,"Pushing Dead , LLC",TBD,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert,53,20,2
The Last Black Man in San Francisco,,2019,959 South Van Ness Ave,"959 South Van Ness Ave, San Francisco CA",37.757819,-122.416429,,"LBMISF, LLC",A40,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover,53,20,2
Budding Prospects,Pilot,2017,500 Cortland Avenue,"500 Cortland Avenue, San Francisco CA",37.738867,-122.416166,,Picrow Streaming Inc.,Amazon,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)",Adam Rose,Will Sasso,Joel David Moore,83,2,2
Looking,,2014,2000 Folsom,"2000 Folsom, San Francisco CA",37.764967,-122.415653,,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,53,20,2
A Jitney Elopement,,1915,20th and Folsom Streets,"2397 Folsom St, San Francisco, CA 94110",37.759071,-122.414399,,The Essanay Film Manufacturing Company,General Film Company,Charles Chaplin,Charles Chaplin,Charles Chaplin,Edna Purviance,,53,20,2
Joy Luck Club,,1993,180 Manchester Street,"180 Manchester Street, San Francisco CA",37.744205,-122.414329,,Hollywood Pictures,National Broadcasting Company (NBC),Wayne Wang,Amy Tan,Kieu Chinh,Tsai Chin,France Nuyen,83,2,2
A Taiwanese Tale of Two Cities,,2018,Bernal Heights Park,"Bernal Heights Park, San Francisco CA",37.7431605,-122.414284,,Envision Productions Inc.,Netflix,Tien-Lun Yeh,"Ling-Hui Chen, Nancy Chen, Chih-Chi Fan, Chia-Hui Lin",Tammy Cheng,Peggy Tseng,Shen-Hao Wen,83,2,2
Americana,,2015,Bernal Heights Park,"Bernal Heights Park, San Francisco CA",37.7431605,-122.414284,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,83,2,2
DEVS,,2020,Bernal Heights Park,"Bernal Heights Park, San Francisco CA",37.7431605,-122.414284,,Minim Productions,FX Network,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha,83,2,2
Women is Losers,,2020,3202 Folsom St,"3202 Folsom St, San Francisco CA",37.7471,-122.413807,,Look at the Moon Pictures,,Lissette Feliciano,Lissette Feliciano,Lorenza Izzo,Simu Liu,Liza Weil,83,2,2
Budding Prospects,Pilot,2017,Lucky Street,"Lucky Street, San Francisco CA",37.751299,-122.4136295,,Picrow Streaming Inc.,Amazon,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)",Adam Rose,Will Sasso,Joel David Moore,53,20,2
The Last Black Man in San Francisco,,2019,Folsom btwn Cortland and Eugenia Ave,"3742 Folsom St, San Francisco, CA 94110",37.73973,-122.41354,,"LBMISF, LLC",A24,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover,83,2,2
Murder in the First,Season 1,2014,13 Lucky Street,"13 Lucky Street, San Francisco CA",37.752229,-122.413389,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,53,20,2
Looking,Season 2 ep 205,2015,745 Treat Ave.,"745 Treat Ave., San Francisco CA",37.758188,-122.413383,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,53,20,2
Looking,Season 2 ep 206,2015,745 Treat Ave.,"745 Treat Ave., San Francisco CA",37.758188,-122.413383,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,53,20,2
The Enforcer,,1976,23rd & Capp Streets (Mission District),"23rd & Capp Streets (Mission District), San Francisco CA",37.75391333,-122.4133263,,Warner Bros. Pictures,Warner Bros. Pictures,James Fargo,Stirling Silliphant,Clint Eastwood,Tyne Daly,Harry Guardino,53,20,2
Women is Losers,,2020,Capp St at 25th St,"Capp St & 25th St, San Francisco CA 94110",37.75113467,-122.4132233,,Look at the Moon Pictures,,Lissette Feliciano,Lissette Feliciano,Lorenza Izzo,Simu Liu,Liza Weil,53,20,2
Murder in the First,Season 1,2014,24th Street between Folsom and Harrison Streets,"3050 24th St, San Francisco, CA 94110",37.752779,-122.413221,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,53,20,2
Budding Prospects,Pilot,2017,3050 24th Street,"3050 24th Street, San Francisco CA",37.752782,-122.413216,,Picrow Streaming Inc.,Amazon,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)",Adam Rose,Will Sasso,Joel David Moore,53,20,2
Pushing Dead,,2016,"Blind Cat, 3050 24th Street, San Francisco","Blind Cat, 3050 24th Street, San Francisco, San Francisco CA",37.752782,-122.413216,Pushing Dead won the Audience Award for Frameline San Francisco International LGBTQ Film Festival 2016,"Pushing Dead , LLC",TBD,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert,53,20,2
Looking,Season 2 ep 208,2015,2450 Harrison Street,"2450 Harrison Street, San Francisco CA",37.758217,-122.412777,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,53,20,2
Looking,,2014,Mission Arts Center,"2450 Harrison St, San Francisco, CA 94110",37.758217,-122.412777,,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,53,20,2
Looking,Season 2 ep 209,2015,Mission Arts Center,"2450 Harrison St, San Francisco, CA 94110",37.758217,-122.412777,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,53,20,2
Looking,Season 2 ep 203,2015,Mission Arts Center,"2450 Harrison St, San Francisco, CA 94110",37.758217,-122.412777,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,53,20,2
Looking,Season 2 ep 210,2015,Mission Arts Center,"2450 Harrison St, San Francisco, CA 94110",37.758217,-122.412777,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,53,20,2
Budding Prospects,Pilot,2017,3033 24th Street,"3033 24th Street, San Francisco CA",37.752405,-122.412555,,Picrow Streaming Inc.,Amazon,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)",Adam Rose,Will Sasso,Joel David Moore,53,20,2
DEVS,,2020,Balmy Alley,"Balmy Alley, San Francisco CA",37.751901,-122.4122165,,Minim Productions,FX Network,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha,53,20,2
Women is Losers,,2020,Balmy Alley,"Balmy Alley, San Francisco CA",37.751901,-122.4122165,,Look at the Moon Pictures,,Lissette Feliciano,Lissette Feliciano,Lorenza Izzo,Simu Liu,Liza Weil,53,20,2
The Enforcer,,1976,Balmy Alley,"Balmy Alley, San Francisco CA",37.751901,-122.4122165,,Warner Bros. Pictures,Warner Bros. Pictures,James Fargo,Stirling Silliphant,Clint Eastwood,Tyne Daly,Harry Guardino,53,20,2
Looking,,2014,2413 Harrison St.,"2413 Harrison St., San Francisco CA",37.758569,-122.412169,,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,53,20,2
Vegas in Space,,1992,Project Artaud (Florida Street),"Project Artaud (Florida Street), San Francisco CA",37.763278,-122.412164,,Troma Entertainment,MCA/Universal Home Video,Phillip R. Ford,Doris Fish,Doris Fish,Miss X,Ginger Quest,53,20,2
Budding Prospects,Pilot,2017,40 Prentiss Street,"40 Prentiss Street, San Francisco CA",37.742099,-122.412102,,Picrow Streaming Inc.,Amazon,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)",Adam Rose,Will Sasso,Joel David Moore,83,2,2
DEVS,,2020,Harrison at 25th St,"3102 25th St, San Francisco, CA 94110",37.751139,-122.412035,,Minim Productions,FX Network,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha,53,20,2
Sense8,,2015,Z Space Studios; 450 Florida St.,"450 Florida St, San Francisco, CA 94110",37.763582,-122.41175,"Filming of the ""Fresh Meat"" Festival","Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,,53,20,2
Americana,,2015,The San Francisco School (300 Gavin St.),"300 Gaven St, San Francisco, CA 94134",37.73278,-122.411699,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,91,25,2
The Last Black Man in San Francisco,,2019,Nevada St btwn Cortland and Jarboe Ave,"240 Nevada St, San Francisco, CA 94110",37.739142,-122.411609,,"LBMISF, LLC",A25,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover,83,2,2
